id,text,annotations
21,"Адрес: Новосибирская область, Новосибирск, улица Кирова, дом 10.","Адрес O
: O
Новосибирская B-Oblast
область I-Oblast
, O
Новосибирск B-City
, O
улица B-Street
Кирова I-Street
, O
дом B-House
10 I-House
. O"
22,"По проспекту Мира идет дорога в Краснодарском крае.","По O
проспекту B-Avenue
Мира I-Avenue
идет O
дорога O
в O
Краснодарским B-Krai
крае I-Krai
. O"
23,"На шоссе Московское находится сооружение А.","На O
шоссе B-Highway
Московское I-Highway
находится O
сооружение B-Structure
А I-Structure
. O"
24,"Живу в Чувашии, в Кировском районе, в селе Михайловское.","Живу O
в O
Чувашии B-Republic
, O
в O
Кировским B-District
районе I-District
, O
в O
селе B-Selo
Михайловское I-Selo
. O"
25,"Поселок расположен в поселке Лесной, муниципалитет в муниципальном образовании Город Москва.","Поселок O
расположен O
в O
поселке B-Poselok
Лесной I-Poselok
, O
муниципалитет O
в O
муниципальном B-Municipality
образовании I-Municipality
Город I-Municipality
Москва I-Municipality
. O"
26,"В Белоруссии находится город Екатеринбург.","В O
Белоруссии B-Country
находится O
город O
Екатеринбург B-City
. O"
27,"Из деревни Ольгино путь лежит в Екатеринбург.","Из O
деревни B-Village
Ольгино I-Village
путь O
лежит O
в O
Екатеринбург B-City
. O"
28,"Дом в поселке Горный, в микрорайоне Южный, в квартире 202.","Дом O
в O
поселке B-Poselok
Горный I-Poselok
, O
в O
микрорайоне B-Microdistrict
Южный I-Microdistrict
, O
в O
квартире B-Flat
202 I-Flat
. O"
29,"Автономный округ Ненецкий автономный округ включает район Ленинский район.","Автономный O
округ O
Ненецкий B-AO
автономный I-AO
округ I-AO
включает O
район O
Ленинский B-District
район I-District
. O"
30,"Улица на улице Ленина, проспект на проспекте Победы, бульвар на бульваре Рождественский.","Улица O
на O
улице B-Street
Ленина I-Street
, O
проспект O
на O
проспекте B-Avenue
Победы I-Avenue
, O
бульвар O
на O
бульваре B-Boulevard
Рождественский I-Boulevard
. O"
31,"Набережная на набережной Москвы-реки, микрорайон в микрорайоне Южный, квартал в квартале 1.","Набережная O
на O
набережной B-Embankment
Москвы-реки I-Embankment
, O
микрорайон O
в O
микрорайоне B-Microdistrict
Южный I-Microdistrict
, O
квартал O
в O
квартале B-Quarter
1 I-Quarter
. O"
32,"Поселок в поселке Речной, муниципалитет в муниципальном образовании Город Санкт-Петербург.","Поселок O
в O
поселке B-Poselok
Речной I-Poselok
, O
муниципалитет O
в O
муниципальном B-Municipality
образовании I-Municipality
Город I-Municipality
Санкт-Петербург I-Municipality
. O"
33,"На шоссе Московское стоит сооружение Б.","На O
шоссе B-Highway
Московское I-Highway
стоит O
сооружение B-Structure
Б I-Structure
. O"
34,"Адрес: Свердловская область, Казань, улица Пушкина, дом 10.","Адрес O
: O
Свердловская B-Oblast
область I-Oblast
, O
Казань B-City
, O
улица B-Street
Пушкина I-Street
, O
дом B-House
10 I-House
. O"
35,"По проспекту Ленина в Алтайском крае проходит маршрут.","По O
проспекту B-Avenue
Ленина I-Avenue
в O
Алтайским B-Krai
крае I-Krai
проходит O
маршрут O
. O"
36,"Дом в доме 10, строение в строении 3, сооружение в сооружении Б, квартира в квартире 101.","Дом O
в O
доме B-House
10 I-House
, O
строение O
в O
строении B-Building
3 I-Building
, O
сооружение O
в O
сооружении B-Structure
Б I-Structure
, O
квартира O
в O
квартире B-Flat
101 I-Flat
. O"
37,"Живу в городе, где много улиц и проспектов.","Живу O
в O
городе O
, O
где O
много O
улиц O
и O
проспектов O
. O"
38,"Этот район называется просто район, но не Ленинский район.","Этот O
район O
называется O
просто O
район O
, O
но O
не O
Ленинский O
район O
. O"
39,"В стране Россия много республик и областей.","В O
стране O
Россия B-Country
много O
республик O
и O
областей O
. O"
40,"Край находится далеко, но Хабаровский край очень красивый.","Край O
находится O
далеко O
, O
но O
Хабаровский B-Krai
край I-Krai
очень O
красивый O
. O"
41,"Область, такая как Новосибирская область, известна своими просторами.","Область O
, O
такая O
как O
Новосибирская B-Oblast
область I-Oblast
, O
известна O
своими O
просторами O
. O"
42,"Автономный округ - это не просто обычный округ.","Автономный O
округ O
- O
это O
не O
просто O
обычный O
округ O
. O"
43,"Город Москва является столицей России.","Город O
Москва B-City
является O
столицей O
России O
. O"
44,"Село тихое, особенно в селе Сидорово.","Село O
тихое O
, O
особенно O
в O
селе B-Selo
Сидорово I-Selo
. O"
45,"Деревня маленькая, как деревня Васильевка.","Деревня O
маленькая O
, O
как O
деревня B-Village
Васильевка I-Village
. O"
46,"Поселок расположен у реки в поселке Речной.","Поселок O
расположен O
у O
реки O
в O
поселке B-Poselok
Речной I-Poselok
. O"
47,"Муниципальное образование определяет это как муниципальное образование.","Муниципальное O
образование O
определяет O
это O
как O
муниципальное B-Municipality
образование I-Municipality
. O"
48,"Улица Пушкина известна, но другая улица Пушкина тоже существует.","Улица O
Пушкина O
известна O
, O
но O
другая O
улица B-Street
Пушкина I-Street
тоже O
существует O
. O"
49,"Проспект широкий на проспекте Ленина.","Проспект O
широкий O
на O
проспекте B-Avenue
Ленина I-Avenue
. O"
50,"Квартира светлая в доме, особенно квартира 101.","Квартира O
светлая O
в O
доме O
, O
особенно O
квартира B-Flat
101 I-Flat
. O"
